DateTime,Open,High,Low ,Close
8/7/2017 2:00,1.17772,1.17921,1.17768,1.1786
8/7/2017 3:00,1.1786,1.17932,1.17843,1.17929
8/7/2017 4:00,1.17929,1.18002,1.17917,1.17936
8/7/2017 5:00,1.17941,1.18019,1.17931,1.17987
8/7/2017 6:00,1.17988,1.18005,1.17951,1.17951
8/7/2017 7:00,1.17952,1.17967,1.1784,1.17849
8/7/2017 8:00,1.17846,1.1793,1.17812,1.17851
8/7/2017 9:00,1.1785,1.18137,1.17782,1.181
8/7/2017 10:00,1.181,1.1811,1.17964,1.17981
8/7/2017 11:00,1.17985,1.18052,1.179,1.18024
8/7/2017 12:00,1.18024,1.1805,1.17951,1.17981
8/7/2017 13:00,1.17979,1.1808,1.17941,1.18023
8/7/2017 14:00,1.18028,1.18046,1.17863,1.17866
8/7/2017 15:00,1.17872,1.17945,1.17831,1.1792
8/7/2017 16:00,1.17925,1.17985,1.1783,1.17946
8/7/2017 17:00,1.17951,1.1796,1.17859,1.17874
8/7/2017 18:00,1.17874,1.17905,1.17815,1.17887
8/7/2017 19:00,1.17888,1.17967,1.17888,1.17914
8/7/2017 20:00,1.17914,1.17951,1.17876,1.17944
8/7/2017 21:00,1.17944,1.17968,1.1789,1.17941
8/7/2017 22:00,1.17941,1.17971,1.17925,1.17958
8/7/2017 23:00,1.17957,1.17983,1.17913,1.17954
8/8/2017 0:00,1.17971,1.18012,1.17916,1.17922
8/8/2017 1:00,1.17923,1.18019,1.17923,1.17997
8/8/2017 2:00,1.17997,1.18051,1.17981,1.18025
8/8/2017 3:00,1.18027,1.18239,1.18022,1.1816
8/8/2017 4:00,1.18161,1.18175,1.1807,1.18133
8/8/2017 5:00,1.1813,1.18164,1.18067,1.18072
8/8/2017 6:00,1.18081,1.18154,1.18072,1.18116
8/8/2017 7:00,1.18119,1.1815,1.18049,1.18083
8/8/2017 8:00,1.18083,1.18122,1.1802,1.18053
8/8/2017 9:00,1.18051,1.1818,1.18029,1.18074
8/8/2017 10:00,1.18075,1.18158,1.18056,1.18082
8/8/2017 11:00,1.18081,1.18144,1.18066,1.18107
8/8/2017 12:00,1.18107,1.18182,1.18077,1.18157
8/8/2017 13:00,1.18155,1.18167,1.18058,1.18077
8/8/2017 14:00,1.18087,1.18175,1.1807,1.18148
8/8/2017 15:00,1.18148,1.1816,1.18069,1.18103
8/8/2017 16:00,1.18103,1.18123,1.17326,1.17385
8/8/2017 17:00,1.17378,1.17506,1.17155,1.17243
8/8/2017 18:00,1.17244,1.17535,1.17213,1.17523
8/8/2017 19:00,1.17525,1.1769,1.17504,1.17637
8/8/2017 20:00,1.17639,1.17641,1.17511,1.17522
8/8/2017 21:00,1.17518,1.1753,1.17406,1.1749
8/8/2017 22:00,1.17492,1.17591,1.17471,1.17525
8/8/2017 23:00,1.175,1.17562,1.17468,1.17499
8/9/2017 0:00,1.17502,1.17622,1.17439,1.17594
8/9/2017 1:00,1.17594,1.1764,1.17524,1.17543
8/9/2017 2:00,1.17541,1.17554,1.17337,1.17434
8/9/2017 3:00,1.17437,1.17494,1.17293,1.17356
